index,RA,DEC,n419 flux (ujy),n419 flux err (ujy),rg flux (ujy),rg flux err (ujy),g flux (ujy),g flux err (ujy),r flux (ujy),r flux err (ujy),i flux (ujy),i flux err (ujy),z flux (ujy),z flux err (ujy),n501 flux (ujy),n501 flux err (ujy),estimated line flux (cgs),estimated EW_rf (A),estimated EW_rf error (A)
105586,15.877287282857075,-0.0381747518463127,0.49065167,0.033809718,0.058103062,0.017139178,0.0576875,0.011276772,0.056749266,0.011617518,0.020955805,0.073490635,3.6307804e-07,0.12432223,0.065601416,0.032016784,5.646430322318382e-17,560.4161841671615,394.96104555899046
105739,15.81412634761067,-0.037379368033592,0.6387601,0.03312004,0.24831268,0.02197732,0.20089787,0.010985732,0.123802796,0.011498938,0.1759205,0.074576005,0.010241814,0.12114585,0.033968143,0.031418797,5.0968471769049845e-17,50.70447464620268,9.072400173817185
105803,15.059150609245489,-0.0367992209319328,0.7014001,0.04459084,0.3123733,0.023160243,0.31784403,0.01569338,0.3307077,0.016174253,0.5710849,0.08018121,3.6307804e-07,0.1720386,0.27178374,0.044700094,5.078302597877019e-17,39.3738382216692,7.549150345283991
105975,15.571225696344287,-0.0353806690311707,0.486148,0.04418912,0.22107655,0.022185069,0.2222167,0.01481904,0.22484414,0.015221275,0.32861122,0.077826045,0.13950379,0.17303139,0.17000812,0.04600442,3.4602064257733104e-17,37.824457960843226,9.595616737054764
106052,15.012514556568624,-0.0353599732168017,0.48563668,0.046131574,0.23063244,0.026393237,0.20870988,0.015445117,0.1661254,0.015998028,0.21875651,0.08989985,0.067132466,0.17482731,0.18124376,0.04473124,3.328790444415796e-17,34.74884577006671,9.914590002884166
106058,14.9704417632909,-0.0354718462973723,0.8288236,0.046783347,0.2228613,0.024874767,0.20578545,0.014937021,0.17152253,0.015517303,0.128137,0.07901218,0.3427706,0.17270036,0.19765747,0.044895936,7.910148921116833e-17,97.053131815134,17.481880099273877
106120,15.873972700932564,-0.0341950524836629,0.3353021,0.03348128,0.14191611,0.015993364,0.14646046,0.011041453,0.15739687,0.011100757,0.18643214,0.0738378,0.46211192,0.11574673,0.18315417,0.030962858,2.5244342431164625e-17,43.35418193424812,11.41151971262583
106128,15.96034740893294,-0.0341264899053668,0.30891714,0.03557429,0.0844959,0.014991533,0.10285239,0.012476789,0.16116935,0.012002705,0.45411876,0.077133045,3.6307804e-07,0.1253636,0.08757479,0.034572482,2.9295641485645256e-17,94.19628497004656,28.10543994965889
106162,14.97066260585022,-0.0339212368074997,0.5921449,0.046257727,0.15112188,0.026487628,0.1323301,0.014823011,0.09770217,0.015442046,0.51899266,0.07900766,0.46507743,0.17261945,0.10941225,0.044782177,5.757054136603362e-17,106.3643508170002,28.513013290275964
106240,14.840707597035085,-0.0331887815941767,0.44544172,0.04501555,0.0735846,0.020954207,0.07766087,0.014798522,0.08784147,0.015594528,3.6307804e-07,0.07887984,0.13255972,0.17359167,0.16950567,0.04338058,4.85417194531345e-17,241.87967590014958,109.44670574846734
106278,14.94807163068583,-0.0341118466631048,0.96662384,0.04527319,0.33183202,0.020624405,0.35168117,0.014692736,0.40160337,0.014658915,0.46450686,0.07706097,0.2512653,0.17327978,0.37960878,0.042442366,8.286485529061445e-17,63.3219767497217,8.413299960636339
106310,15.78414290813308,-0.0345250101575966,0.95914096,0.03380903,0.31621167,0.017023042,0.31547585,0.011274943,0.31380093,0.011515471,0.07507,0.073421076,0.009180355,0.11862154,0.26433685,0.031995587,8.392710948598474e-17,67.99152467680233,7.669246059345323
106316,15.4990001382573,-0.0333571978591088,0.49722788,0.04576162,0.24630378,0.020703329,0.26920927,0.015280438,0.32985657,0.0151888225,0.46996713,0.07845586,0.6667852,0.17645067,0.31327358,0.044650134,3.275528855338381e-17,31.93356794724523,8.185750623877484
106386,14.561170275058888,-0.0327787256968968,0.38218486,0.044623516,0.12427353,0.027881347,0.104525805,0.014701068,0.070391096,0.015632324,3.6307804e-07,0.079715736,3.6307804e-07,0.1726182,0.13551086,0.044555053,3.3667391993582904e-17,69.6556568321339,26.004746719049
106743,16.044524759359334,-0.0300627452764558,0.4233309,0.035510473,0.0779823,0.022794945,0.065493226,0.0121380035,0.043955937,0.012071525,3.6307804e-07,0.0902409,3.6307804e-07,0.12121231,0.0027260943,0.03385973,4.508133353674328e-17,193.82119464602417,83.77633862975209
106828,14.827653949823535,-0.0299499392716272,0.75747824,0.045636673,0.11857598,0.03118388,0.08999747,0.014164163,0.04792947,0.014676847,0.35641152,0.082684115,3.6307804e-07,0.17258199,0.10058159,0.043254282,8.340142650191451e-17,271.6160920506967,114.0427240351558
106879,15.73200515283461,-0.0291206460272664,0.24362263,0.034031,0.034973335,0.012132266,0.04775506,0.01139489,0.09729738,0.011458396,0.20697643,0.075347394,0.2391746,0.12950885,0.084534414,0.032468684,2.7236793373713808e-17,331.32957790544754,209.2561934829224
107060,15.800536042446012,-0.0286645703564618,0.2884393,0.033284374,0.10649276,0.02189016,0.08469777,0.010769975,0.05019549,0.010777763,0.09036359,0.072978795,3.6307804e-07,0.11551915,0.08136104,0.03076792,2.375105228628812e-17,55.64300467880804,20.493864837680547
107259,14.350663907812216,-0.0276189168215506,0.68929785,0.04901994,0.27450424,0.020644898,0.30428228,0.015444963,0.38500336,0.015999138,0.5318813,0.08062721,0.59052587,0.15410069,0.34501848,0.04450348,5.4146590087001386e-17,48.52300818245509,8.895175932388387
107343,15.093502028304568,-0.0260305634873565,0.6235959,0.045525078,0.18601798,0.030058876,0.1505317,0.015117583,0.09281213,0.0153861,0.09792756,0.07770043,0.4323561,0.17941508,0.08266913,0.043264,5.712082272762757e-17,80.97643989668518,20.84714873099751
